"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address","Lat","Long"
"62","https://www.proff.dk/firma/dhm-holding-as/k%C3%B8benhavn-%C3%B8/bioteknologi/070AP1I0225/","Biotechnology","DHM HOLDING A/S",1987,3,2181000,4868000,"Langelinie Allé 29 3 tv, 2100 København Ø",12.59988,55.698936
"63","https://www.proff.dk/firma/2a-pharma-aps/aalborg-%C3%B8st/bioteknologi/0NGAR1I0225/","Biotechnology","2A Pharma ApS",2018,5,2096000,377000,"Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"64","https://www.proff.dk/firma/bainan-biotech-aps/k%C3%B8benhavn-n/bioteknologi/0NRAC4I0225/","Biotechnology","Bainan Biotech ApS",2018,6,1953000,-1063000,"Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"65","https://www.proff.dk/firma/biotest-facility-aps/trige/bioteknologi/0MLX7YI0225/","Biotechnology","Biotest Facility ApS",2016,7,1861000,22000,"Røvedvej 1, 8380 Trige",10.146859,56.305427
"66","https://www.proff.dk/firma/pipeline-bioresearch-aps/aarhus-c/bioteknologi/0MIV5JI0225/","Biotechnology","Pipeline Bioresearch ApS",2016,2,1612000,27000,"Marselisborg Havnevej 36, 8000 Aarhus C",10.215827,56.138643
"67","https://www.proff.dk/firma/solsten-diagnostics-international-aps/aarhus-n/bioteknologi/0O2NM8I0225/","Biotechnology","Solsten Diagnostics International ApS",2019,7,1543000,-2810000,"Langdyssen 5, 8200 Aarhus N",10.141801,56.218564
"68","https://www.proff.dk/firma/andstats-aps/frederiksberg/bioteknologi/0LV80FI0225/","Biotechnology","AndStats ApS",2015,1,1512000,1105000,"Aurikelvej 20, 2000 Frederiksberg",12.515391,55.669123
"69","https://www.proff.dk/firma/dnasense-aps/aalborg-%C3%B8st/bioteknologi/0LGE85I0225/","Biotechnology","DNASENSE ApS",2014,5,1446000,-1382000,"Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"70","https://www.proff.dk/firma/hyamedix-aps/k%C3%B8benhavn-n/bioteknologi/0NBPQTI0225/","Biotechnology","Hyamedix ApS",2017,3,1402000,-486000,"Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"71","https://www.proff.dk/firma/anapa-biotech-as/h%C3%B8rsholm/bioteknologi/0GF8UNI0225/","Biotechnology","Anapa Biotech A/S",2004,1,526000,478000,"Venlighedsvej 6, 2970 Hørsholm",12.49426,55.873689
"72","https://www.proff.dk/firma/immumap-services-aps/h%C3%B8rsholm/bioteknologi/0MQ422I0225/","Biotechnology","Immumap Services ApS",2016,3,521000,-1282000,"Agern Alle 3, 2970 Hørsholm",12.493014,55.872412
"73","https://www.proff.dk/firma/bee-patch-aps/lejre/bioteknologi/0IWXF0I0225/","Biotechnology","BEE-PATCH ApS",2008,1,375000,132000,"Nørregårdsvej 14, 4320 Lejre",11.963596,55.598444
"74","https://www.proff.dk/firma/bifrost-biolabs-aps/glostrup/bioteknologi/0N1K75I0225/","Biotechnology","Bifrost Biolabs ApS",2017,2,370000,74000,"Smedeland 7 1, 2600 Glostrup",12.389754,55.680086
"75","https://www.proff.dk/firma/proxi-biotech-aps/frederiksberg/bioteknologi/0NQBKBI0225/","Biotechnology","PrOxi Biotech ApS",2018,2,337000,85000,"Egeskellet 6, 2000 Frederiksberg",12.49634,55.671632
"76","https://www.proff.dk/firma/2n-pharma-aps/aalborg-%C3%B8st/bioteknologi/0OIEFRI0225/","Biotechnology","2N Pharma ApS",2020,9,336000,-249000,"Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"77","https://www.proff.dk/firma/kj-bio-as/hinnerup/bioteknologi/0O0VVSI0225/","Biotechnology","KJ Bio A/S",2019,1,262000,-3453000,"Skanderborgvej 193, 8382 Hinnerup",10.028316,56.248141
"78","https://www.proff.dk/firma/methyl-detect-aps/aalborg-%C3%B8st/bioteknologi/0MTE15I0225/","Biotechnology","Methyl Detect ApS",2016,1,256000,-771000,"Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"79","https://www.proff.dk/firma/xy-therapeutics-aps/charlottenlund/bioteknologi/0OHCX5I0225/","Biotechnology","XY Therapeutics ApS",2020,2,153000,-3144000,"Rosenstandsvej 17 A, 2920 Charlottenlund",12.5653218,55.7586672
"80","https://www.proff.dk/firma/ole-ussing-aps/aalborg/bioteknologi/09IVIGI0225/","Biotechnology","OLE USSING ApS",1992,1,10000,28000,"Gregers Nørgårds Vej 9, 9000 Aalborg",9.872764,57.029889
"81","https://www.proff.dk/firma/snipr-biome-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0N559PI0225/","Biotechnology","SNIPR Biome ApS",2017,46,-38908000,-72158000,"Lersø Parkallé 44 5, 2100 København Ø",12.556916,55.707854
"82","https://www.proff.dk/firma/afyx-therapeutics-as/k%C3%B8benhavn-s/bioteknologi/0LC64BI0225/","Biotechnology","Afyx Therapeutics A/S",2014,3,-36231000,-54979000,"Lergravsvej 57 2 tv, 2300 København S",12.625818,55.664313
"83","https://www.proff.dk/firma/minervax-aps/k%C3%B8benhavn-n/bioteknologi/0JGAVBI0225/","Biotechnology","MINERVAX ApS",2010,12,-16782000,-23307000,"Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"84","https://www.proff.dk/firma/monta-biosciences-aps/kongens-lyngby/bioteknologi/0LUJLKI0225/","Biotechnology","MonTa Biosciences ApS",2015,6,-13310000,-16447000,"Diplomvej 377 1, 2800 Kongens Lyngby",12.5129786,55.7824598
"85","https://www.proff.dk/firma/bioporto-diagnostics-as/hellerup/bioteknologi/0B3N96I0225/","Biotechnology","BIOPORTO DIAGNOSTICS A/S",1995,17,-10556000,-46843000,"Tuborg Havnevej 15 st, 2900 Hellerup",12.582695,55.726812
"86","https://www.proff.dk/firma/initiator-pharma-as/k%C3%B8benhavn-n/bioteknologi/0MF9KWI0225/","Biotechnology","Initiator Pharma A/S",2016,2,-9299000,-10240000,"Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"87","https://www.proff.dk/firma/blusense-diagnostics-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0LGVG0I0225/","Biotechnology","BLUSENSE DIAGNOSTICS APS",2014,52,-8577000,-28880000,"Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"88","https://www.proff.dk/firma/expres2ion-biotechnologies-aps/h%C3%B8rsholm/bioteknologi/0JIDVBI0225/","Biotechnology","EXPRES2ION BIOTECHNOLOGIES ApS",2010,34,-7044000,-20406000,"Agern Alle 1, 2970 Hørsholm",12.492919,55.872775
"89","https://www.proff.dk/firma/cytoki-pharma-aps/hellerup/bioteknologi/0O62MSI0225/","Biotechnology","CytoKi Pharma ApS",2019,3,-6040000,-8280000,"Tuborg Boulevard 12 3, 2900 Hellerup",12.5765281,55.7267905
"90","https://www.proff.dk/firma/stenocare-as/randers-n%C3%B8/bioteknologi/0N8FNLI0225/","Biotechnology","STENOCARE A/S",2017,14,-5995000,-13719000,"Nyholmsvej 4, 8930 Randers NØ",10.082751,56.473111
"91","https://www.proff.dk/firma/biograil-aps/haslev/bioteknologi/0O7MMJI0225/","Biotechnology","Biograil ApS",2019,3,-5820000,-8804000,"Slettehavevej 77, 4690 Haslev",11.996031,55.278268
"92","https://www.proff.dk/firma/adcendo-aps/k%C3%B8benhavn-n/bioteknologi/0N36WTI0225/","Biotechnology","ADCendo ApS",2017,11,-5638000,-8632000,"Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"93","https://www.proff.dk/firma/hyperbio-therapeutics-aps/vejle-%C3%B8st/bioteknologi/0OK0RXI0225/","Biotechnology","HyperBio Therapeutics ApS",2020,1,-5571000,-5632000,"Stærmosevej 12, 7120 Vejle Øst",9.59713,55.716288
"94","https://www.proff.dk/firma/cobo-technologies-aps/frederiksberg/bioteknologi/0NAP5JI0225/","Biotechnology","COBO Technologies Aps",2017,5,-1136000,-2224000,"Kong Georgs Vej 12 A 2, 2000 Frederiksberg",12.5324821,55.6886708
"95","https://www.proff.dk/firma/unikum-therapeutics-aps/k%C3%B8benhavn-n/bioteknologi/0OIWNXI0225/","Biotechnology","UNIKUM Therapeutics ApS",2020,7,-1099000,-2436000,"Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"96","https://www.proff.dk/firma/qur-medical-aps/havdrup/bioteknologi/0HMT87I0225/","Biotechnology","QUR Medical ApS",2006,1,-962000,-1219000,"Ørsted Bygade 5, 4622 Havdrup",12.07901,55.54401
"97","https://www.proff.dk/firma/ming-yang-wind-power-european-rd-center-aps/roskilde/bioteknologi/0JDOVNI0225/","Biotechnology","MING YANG WIND POWER EUROPEAN R&D CENTER ApS",2009,1,-910000,-1453000,"Frederiksborgvej 399, 4000 Roskilde",12.103063,55.692568
"98","https://www.proff.dk/firma/chromologics-aps/s%C3%B8borg/bioteknologi/0N3EIPI0225/","Biotechnology","Chromologics ApS",2017,10,-729000,-2173000,"Maskinvej 5, 2860 Søborg",12.479666,55.741476
"99","https://www.proff.dk/firma/twelve-bio-aps/k%C3%B8benhavn-n/bioteknologi/0OAKSZI0225/","Biotechnology","Twelve Bio ApS",2019,11,0,NA,"Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"100","https://www.proff.dk/firma/biovice-systems-aps/hadsund/bioteknologi/0OFIGKI0225/","Biotechnology","Biovice Systems ApS",2019,1,-459000,-1052000,"Butikstorvet 4, 9560 Hadsund",10.114045,56.71818
"101","https://www.proff.dk/firma/glycospot-aps/s%C3%B8borg/bioteknologi/0LQ2AWI0225/","Biotechnology","GlycoSpot ApS",2014,17,-435000,-5298000,"Østmarken 9, 2860 Søborg",12.46961,55.735362
"102","https://www.proff.dk/firma/genetelligence-aps/h%C3%B8rsholm/bioteknologi/0MFE5PI0225/","Biotechnology","GeneTelligence ApS",2016,2,-413000,-2046000,"Agern Alle 24, 2970 Hørsholm",12.491707,55.869272
"103","https://www.proff.dk/firma/glycodisplay-aps/k%C3%B8benhavn-n/bioteknologi/0MR5NVI0225/","Biotechnology","GlycoDisplay ApS",2016,1,-390000,-448000,"Blegdamsvej 3, 2200 København N",12.27712,54.97781
"104","https://www.proff.dk/firma/biostrip-aps/risskov/bioteknologi/0M5SKWI0225/","Biotechnology","Biostrip ApS",2015,4,-379000,-656000,"Lindevangsvej 10, 8240 Risskov",10.241465,56.18845
"105","https://www.proff.dk/firma/ibus-innovation-as/%C3%A5lsg%C3%A5rde/bioteknologi/0HQ2G3I0225/","Biotechnology","IBUS INNOVATION A/S",2006,1,-375000,-5745000,"Odinshøjvej 116, 3140 Ålsgårde",12.522118,56.083406
"106","https://www.proff.dk/firma/valinor-aps/k%C3%B8benhavn-k/bioteknologi/0ND9FSI0225/","Biotechnology","Valinor Aps",2018,2,-234000,-521000,"Købmagergade 53 2, 1150 København K",12.574973,55.681441
"107","https://www.proff.dk/firma/vendler-aps/hellerup/bioteknologi/0K5YIXI0225/","Biotechnology","VENDLER ApS",2011,1,-42000,-347000,"Carolinevej 21, 2900 Hellerup",12.579926,55.729391
"108","https://www.proff.dk/firma/stig-g%C3%BCnther-aps/frederikssund/bioteknologi/0H98ITI0225/","Biotechnology","STIG GÜNTHER ApS",2005,1,-21000,-209000,"Bakkekammen 72, 3600 Frederikssund",12.075109,55.865479
"109","https://www.proff.dk/firma/boost-pharma-aps/k%C3%B8benhavn-n/bioteknologi/0OHCRZI0225/","Biotechnology","BOOST Pharma ApS",2020,3,-21000,-63000,"Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"110","https://www.proff.dk/firma/enduro-genetics-aps/k%C3%B8benhavn-n/bioteknologi/0ODXAPI0225/","Biotechnology","Enduro Genetics ApS",2019,7,-2000,-133000,"Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"111","https://www.proff.dk/firma/carlsberg-forskningscenter/k%C3%B8benhavn-v/bioteknologi/GOBIDGI0225/","Biotechnology","Carlsberg Forskningscenter",2001,94,0,3000,"J.C. Jacobsens Gade 4, 1799 København V",NA,NA
"112","https://www.proff.dk/firma/quantibact-as/h%C3%B8rsholm/bioteknologi/GPJZK9I0225/","Biotechnology","Quantibact A/S",2004,1,526000,478000,"Venlighedsvej 6, 2970 Hørsholm",12.49426,55.873689
"113","https://www.proff.dk/firma/stemform-as/s%C3%B8borg/bioteknologi/GW3OR1I0225/","Biotechnology","Stemform A/S",2016,11,-3793000,-8713000,"Gyngemose Parkvej 74, 2860 Søborg",12.476753,55.728405
