"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address"
"2113","https://www.proff.dk/firma/%C3%B8rel%C3%A6gens-h%C3%B8reklinik-aps/helsing%C3%B8r/medicinsk-teknisk-udstyr/0O5AZ8I011I/","Medical Technologies","Ørelægens Høreklinik Aps",2019,NA,-5000,-5000,"Strandgade 64, 3000 Helsingør"
"2122","https://www.proff.dk/firma/hovedstadens-h%C3%B8recenter-aps/frederiksberg-c/medicinsk-teknisk-udstyr/0O6GRCI011I/","Medical Technologies","Hovedstadens Hørecenter ApS",2019,NA,-5000,-5000,"Martinsvej 10, 1926 Frederiksberg C"
"2132","https://www.proff.dk/firma/nodoseptic-as/randers-s%C3%B8/medicinsk-teknisk-udstyr/0IG4PCI011I/","Medical Technologies","NODOSEPTIC A/S",2007,NA,-4000,0,"Holger Danskes Vej 17, 8960 Randers SØ"
"2143","https://www.proff.dk/firma/danish-medical-innovation-aps/vejle/medicinsk-teknisk-udstyr/0L2ZGOI011I/","Medical Technologies","DANISH MEDICAL INNOVATION ApS",2013,NA,-4000,-5000,"Hesselvang 11, 7100 Vejle"
"2152","https://www.proff.dk/firma/baselisk-aps/lejre/medicinsk-teknisk-udstyr/0O12CSI011I/","Medical Technologies","Baselisk ApS",2019,NA,-4000,2000,"Sandbanken 19, 4320 Lejre"
"2162","https://www.proff.dk/firma/monkeyglasses-flagship-store-holte-aps/holte/medicinsk-teknisk-udstyr/0O55F1I011I/","Medical Technologies","Monkeyglasses Flagship Store Holte ApS",2019,NA,-4000,1000,"Holte Stationsvej 8, 2840 Holte"
"2172","https://www.proff.dk/firma/g-og-b-holding-aps/valby/medicinsk-teknisk-udstyr/08T3I4I011I/","Medical Technologies","G OG B HOLDING ApS",1990,NA,-3000,766000,"Valby Langgade 49 1 tv, 2500 Valby"
"2182","https://www.proff.dk/firma/oark-aps/hammel/medicinsk-teknisk-udstyr/0MWIDRI011I/","Medical Technologies","OARK ApS",2017,NA,-3000,-3000,"Hjortebakken 6, 8450 Hammel"
"2192","https://www.proff.dk/firma/sjac-aps/holb%C3%A6k/medicinsk-teknisk-udstyr/0OJ9YWI011I/","Medical Technologies","SJAC ApS",2020,NA,-3000,-7000,"Sports Allé 1, 4300 Holbæk"
"2202","https://www.proff.dk/firma/equinose-holding-aps/birker%C3%B8d/medicinsk-teknisk-udstyr/0GV3MQI011I/","Medical Technologies","EQUINOSE HOLDING ApS",2005,NA,-2000,-2000,"Nobisvej 28, 3460 Birkerød"
"2213","https://www.proff.dk/firma/bitmatic-aps/odder/medicinsk-teknisk-udstyr/0LR5Q6I011I/","Medical Technologies","BITMATIC ApS",2015,NA,-2000,-3000,"Aahaven 23, 8300 Odder"
"2222","https://www.proff.dk/firma/contiscience-aps/frederiksberg-c/medicinsk-teknisk-udstyr/0GJ99FI011I/","Medical Technologies","CONTISCIENCE ApS",2004,NA,-1000,12000,"Frederiksberg Alle 32 2 th, 1820 Frederiksberg C"
"2232","https://www.proff.dk/firma/microwarm-holding-aps/kongens-lyngby/medicinsk-teknisk-udstyr/0HR8KAI011I/","Medical Technologies","MICROWARM HOLDING ApS",2006,NA,-1000,-43000,"Skeltoftevej 73, 2800 Kongens Lyngby"
"2242","https://www.proff.dk/firma/bardazid-aps/ebeltoft/medicinsk-teknisk-udstyr/0O4PHOI011I/","Medical Technologies","Bardazid ApS",2019,NA,-1000,-3000,"Bøgebjerg 2 2 4, 8400 Ebeltoft"
"2252","https://www.proff.dk/firma/hvidovre-h%C3%B8reapparatsklinik-aps/hvidovre/medicinsk-teknisk-udstyr/0O56ENI011I/","Medical Technologies","Hvidovre Høreapparatsklinik ApS",2019,NA,-1000,-1000,"Hvidovrevej 340 B 1, 2650 Hvidovre"
"2262","https://www.proff.dk/firma/sahva-as/kolding/medicinsk-teknisk-udstyr/GL5293I011I/","Medical Technologies","Sahva A/S",1994,18,79107000,18298000,"Ellehammersvej 3B, 6000 Kolding"
"2272","https://www.proff.dk/firma/sahva-as/nyk%C3%B8bing-f/medicinsk-teknisk-udstyr/GL529FI011I/","Medical Technologies","Sahva A/S",1994,2,79107000,18298000,"Klosterstræde 16, 4800 Nykøbing F"
"2283","https://www.proff.dk/firma/sahva-as/n%C3%A6stved/medicinsk-teknisk-udstyr/GL529RI011I/","Medical Technologies","Sahva A/S",1994,6,79107000,18298000,"Nordre Farimagsvej 16, 4700 Næstved"
"2292","https://www.proff.dk/firma/sahva-as/s%C3%B8nderborg/medicinsk-teknisk-udstyr/GL52AFI011I/","Medical Technologies","Sahva A/S",1994,6,79107000,18298000,"Sankt Jørgens Gade 29, 6400 Sønderborg"
"2302","https://www.proff.dk/firma/sahva-as/aarhus-v/medicinsk-teknisk-udstyr/GL52AKI011I/","Medical Technologies","Sahva A/S",1994,23,79107000,18298000,"Sommervej 23, st. tv., 8210 Aarhus V"
"2313","https://www.proff.dk/firma/selskabet-af-10.-december-2021-as-under-konkurs/r%C3%B8dovre/medicinsk-teknisk-udstyr/GL6A6XI011I/","Medical Technologies","Selskabet af 10. December 2021 A/S  Under Konkurs",1973,18,23298000,8794000,"Islevdalvej 211, 2610 Rødovre"
"2322","https://www.proff.dk/firma/esbjerg-dentallaboratorium-aps-under-konkurs/esbjerg/medicinsk-teknisk-udstyr/GL7ST0I011I/","Medical Technologies","Esbjerg Dentallaboratorium ApS  Under Konkurs",1964,NA,8923000,245000,"Danmarksgade 31, 6700 Esbjerg"
"2332","https://www.proff.dk/firma/unomedical-as/herlev/medicinsk-teknisk-udstyr/GL93SRI011I/","Medical Technologies","Unomedical A/S",2000,3,913088000,748781000,"Skinderskovvej 32-36, 2730 Herlev"
"2342","https://www.proff.dk/firma/unomedical-as/lejre/medicinsk-teknisk-udstyr/GL93TMI011I/","Medical Technologies","Unomedical A/S",1991,370,913088000,748781000,"Åholmvej 1-3, 4320 Lejre"
"2352","https://www.proff.dk/firma/k%C3%B8benhavns-ortop%C3%A6diske-h%C3%A5ndskomageri-aps/frederiksberg-c/medicinsk-teknisk-udstyr/GLABOWI011I/","Medical Technologies","Københavns Ortopædiske Håndskomageri ApS",1986,2,10435000,69000,"Gammel Kongevej 121, 1850 Frederiksberg C"
"2362","https://www.proff.dk/firma/k%C3%B8benhavns-ortop%C3%A6diske-h%C3%A5ndskomageri-aps/valby/medicinsk-teknisk-udstyr/GLABP8I011I/","Medical Technologies","Københavns Ortopædiske Håndskomageri ApS",1986,10,10435000,69000,"Gammel Køge Landevej 55, 2500 Valby"
"2372","https://www.proff.dk/firma/aller%C3%B8d-%C3%B8re-n%C3%A6se-halsl%C3%A6geklinik-vlars-mortensen/aller%C3%B8d/medicinsk-teknisk-udstyr/GLGP6SI011I/","Medical Technologies","Allerød Øre Næse Halslægeklinik v/Lars Mortensen",NA,0,0,NA,"M D Madsensvej 13, 2., 3450 Allerød"
"2382","https://www.proff.dk/firma/klinisk-tandtekniker-j%C3%B8rgen-holm/hedensted/medicinsk-teknisk-udstyr/GLJO4PI011I/","Medical Technologies","Klinisk Tandtekniker Jørgen Holm",NA,0,0,NA,"Bytorvet 5, 1. th., 8722 Hedensted"
"2392","https://www.proff.dk/firma/bandagist-centret-ortop%C3%A6diske-bandagerier-og-skomagerier-as/hj%C3%B8rring/medicinsk-teknisk-udstyr/GLQ8SYI011I/","Medical Technologies","Bandagist-Centret, Ortopædiske Bandagerier og Skomagerier A/S",1996,NA,45446000,7648000,"Bispensgade 95, 9800 Hjørring"
"2402","https://www.proff.dk/firma/csf-dynamics-as/kongens-lyngby/medicinsk-teknisk-udstyr/GLRJNEI011I/","Medical Technologies","Csf-Dynamics A/S",1996,3,-726000,-2072000,"Gammel Lundtoftevej 1D, 2800 Kongens Lyngby"
"2413","https://www.proff.dk/firma/byens-bandagist-aps/randers-c/medicinsk-teknisk-udstyr/GMGMPFI011I/","Medical Technologies","Byens Bandagist ApS",1999,2,2108000,339000,"Rosengade 4, 8900 Randers C"
"2422","https://www.proff.dk/firma/danish-myo-technology-as/hinnerup/medicinsk-teknisk-udstyr/GMH7MNI011I/","Medical Technologies","Danish Myo Technology A/S",1999,NA,12335000,175000,"Rho 14, 8382 Hinnerup"
"2432","https://www.proff.dk/firma/novo-nordisk-as-nn1/bagsv%C3%A6rd/medicinsk-teknisk-udstyr/GN7TOII011I/","Medical Technologies","Novo Nordisk A/S - Nn1",1931,1195,8.0278e+10,4.9444e+10,"Novo Alle 1, 2880 Bagsværd"
"2442","https://www.proff.dk/firma/levabo-aps/solbjerg/medicinsk-teknisk-udstyr/GNT0ATI011I/","Medical Technologies","Levabo ApS",2000,NA,4528000,2181000,"Højlundsparken 49, 8355 Solbjerg"
"2452","https://www.proff.dk/firma/sahva-as/vejle/medicinsk-teknisk-udstyr/GNUTIAI011I/","Medical Technologies","Sahva A/S",1999,9,79107000,18298000,"Flegmade 17, 7100 Vejle"
"2462","https://www.proff.dk/firma/novo-nordisk-as-dg/kalundborg/medicinsk-teknisk-udstyr/GNXZJLI011I/","Medical Technologies","Novo Nordisk A/S - Dg",1999,3336,8.0278e+10,4.9444e+10,"Hallas Alle 1, 4400 Kalundborg"
"2472","https://www.proff.dk/firma/novo-nordisk-as-cax/stenl%C3%B8se/medicinsk-teknisk-udstyr/GNXZTDI011I/","Medical Technologies","Novo Nordisk A/S - Cax",1999,7,8.0278e+10,4.9444e+10,"Orevej 5, 3660 Stenløse"
"2482","https://www.proff.dk/firma/novo-nordisk-as-hj/hj%C3%B8rring/medicinsk-teknisk-udstyr/GNXZV3I011I/","Medical Technologies","Novo Nordisk A/S - Hj",1999,295,8.0278e+10,4.9444e+10,"Stenager Alle 4, 9800 Hjørring"
"2492","https://www.proff.dk/firma/novo-nordisk-as-g8-x9-m.fl./m%C3%A5l%C3%B8v/medicinsk-teknisk-udstyr/GNXZW2I011I/","Medical Technologies","Novo Nordisk A/S - G8, X9 M.Fl.",1999,2937,8.0278e+10,4.9444e+10,"Novo Nordisk Park 99, 2760 Måløv"
"2502","https://www.proff.dk/firma/novo-nordisk-as-25a-b/hiller%C3%B8d/medicinsk-teknisk-udstyr/GNXZWII011I/","Medical Technologies","Novo Nordisk A/S - 25a-B",1999,1898,8.0278e+10,4.9444e+10,"Brennum Park 25A, 3400 Hillerød"
"2513","https://www.proff.dk/firma/bandagist-centret-ortop%C3%A6diske-bandagerier-og-skomagerier-as/herning/medicinsk-teknisk-udstyr/GR5I6RI011I/","Medical Technologies","Bandagist-Centret, Ortopædiske Bandagerier og Skomagerier A/S",2006,NA,45446000,7648000,"Silkeborgvej 6, 7400 Herning"
"2522","https://www.proff.dk/firma/ac-dental-laboratorium-aps/kongens-lyngby/medicinsk-teknisk-udstyr/GR8GD3I011I/","Medical Technologies","Ac Dental Laboratorium ApS",2007,2,738000,153000,"Svends Alle 42, 2800 Kongens Lyngby"
"2532","https://www.proff.dk/firma/by-acre-aps/kongens-lyngby/medicinsk-teknisk-udstyr/GRBCEGI011I/","Medical Technologies","By Acre ApS",2007,12,6599000,1582000,"I.C.Modewegs Vej 3B, 2800 Kongens Lyngby"
"2542","https://www.proff.dk/firma/ortos-as-bandagist/odense-m/medicinsk-teknisk-udstyr/GRD9JSI011I/","Medical Technologies","Ortos A/S, Bandagist",2007,26,35237000,1565000,"Børstenbindervej 12A, 5230 Odense M"
"2552","https://www.proff.dk/firma/ken-as/aarhus-v/medicinsk-teknisk-udstyr/GRISV1I011I/","Medical Technologies","Ken A/S",2006,1,37043000,-208000,"Runetoften 15, 8210 Aarhus V"
"2562","https://www.proff.dk/firma/dansk-h%C3%B8recenter-aps/holb%C3%A6k/medicinsk-teknisk-udstyr/GRROJ4I011I/","Medical Technologies","Dansk Hørecenter ApS",2007,2,42340000,-16052000,"Smedelundsgade 50, 4300 Holbæk"
"2572","https://www.proff.dk/firma/dansk-h%C3%B8recenter-aps-sanders-arkade/n%C3%A6stved/medicinsk-teknisk-udstyr/GRROLJI011I/","Medical Technologies","Dansk Hørecenter ApS Sanders Arkade",2007,3,42340000,-16052000,"Ringstedgade 27A, 4700 Næstved"
"2582","https://www.proff.dk/firma/audionova-aps/vejle/medicinsk-teknisk-udstyr/GRSCDWI011I/","Medical Technologies","Audionova ApS",2008,2,89098000,5070000,"Vestergade 15, 7100 Vejle"
"2592","https://www.proff.dk/firma/audionova-aps/slagelse/medicinsk-teknisk-udstyr/GRSCFMI011I/","Medical Technologies","Audionova ApS",2008,1,89098000,5070000,"Rådhuspladsen 4, 4200 Slagelse"
"2602","https://www.proff.dk/firma/audionova-aps/frederiksberg-c/medicinsk-teknisk-udstyr/GRSCIFI011I/","Medical Technologies","Audionova ApS",2008,3,89098000,5070000,"Gammel Kongevej 152B, 1850 Frederiksberg C"
"2614","https://www.proff.dk/firma/dallmedica-aps/lystrup/medicinsk-teknisk-udstyr/GRTV8FI011I/","Medical Technologies","Dallmedica ApS",2008,NA,-85000,-87000,"Lægårdsvej 9A, 8520 Lystrup"
"2622","https://www.proff.dk/firma/svaneklinik-aps/kongens-lyngby/medicinsk-teknisk-udstyr/GS2BB6I011I/","Medical Technologies","Svaneklinik ApS",2008,6,2620000,595000,"Lyngby Hovedgade 27, 2., 2800 Kongens Lyngby"
"2633","https://www.proff.dk/firma/ny-h%C3%B8relse-vline-w.-steiness/vordingborg/medicinsk-teknisk-udstyr/GS74TQI011I/","Medical Technologies","Ny Hørelse v/Line W. Steiness",NA,0,0,NA,"Glambæksvej 5, 4760 Vordingborg"
"2642","https://www.proff.dk/firma/audionova-aps/ringsted/medicinsk-teknisk-udstyr/GS7KOMI011I/","Medical Technologies","Audionova ApS",2008,2,89098000,5070000,"Nørretorv 39, 4100 Ringsted"
"2652","https://www.proff.dk/firma/audionova-aps/hiller%C3%B8d/medicinsk-teknisk-udstyr/GS7L7GI011I/","Medical Technologies","Audionova ApS",2008,2,89098000,5070000,"Helsingørsgade 27, 3400 Hillerød"
"2662","https://www.proff.dk/firma/audionova-aps/roskilde/medicinsk-teknisk-udstyr/GS7L8FI011I/","Medical Technologies","Audionova ApS",2008,3,89098000,5070000,"Ringstedgade 18, 4000 Roskilde"
"2672","https://www.proff.dk/firma/audionova-aps/glostrup/medicinsk-teknisk-udstyr/GS7L99I011I/","Medical Technologies","Audionova ApS",2008,4,89098000,5070000,"Hovedvejen 118, 1., 2600 Glostrup"
"2682","https://www.proff.dk/firma/audionova-aps/kongens-lyngby/medicinsk-teknisk-udstyr/GS7LI3I011I/","Medical Technologies","Audionova ApS",2008,3,89098000,5070000,"Lyngby Hovedgade 55A, 2800 Kongens Lyngby"
"2692","https://www.proff.dk/firma/bandagisterne-s%C3%B8rensen-jensen-as/nyk%C3%B8bing-f/medicinsk-teknisk-udstyr/GS827VI011I/","Medical Technologies","Bandagisterne Sørensen &amp; Jensen A/S",2008,3,2689000,133000,"St.Kirkestræde 7, st., 4800 Nykøbing F"
"2702","https://www.proff.dk/firma/dentalhoses-aps/greve/medicinsk-teknisk-udstyr/GSDFP7I011I/","Medical Technologies","Dentalhoses ApS",2009,2,1098000,110000,"Kappelev Alle 2B, 2670 Greve"
"2713","https://www.proff.dk/firma/dall-spine-aps/lystrup/medicinsk-teknisk-udstyr/GSH1ZVI011I/","Medical Technologies","Dall Spine ApS",2009,NA,-166000,-166000,"Lægårdsvej 9A, 8520 Lystrup"
"2722","https://www.proff.dk/firma/h%C3%B8reklinikken-valby/valby/medicinsk-teknisk-udstyr/GSLLV1I011I/","Medical Technologies","Høreklinikken Valby",2009,13,6445000,240000,"Valby Langgade 88, 2500 Valby"
"2732","https://www.proff.dk/firma/cortex-technology-aps/hadsund/medicinsk-teknisk-udstyr/GSLM7PI011I/","Medical Technologies","Cortex Technology ApS",2009,10,9077000,2738000,"Plastvænget 9, 9560 Hadsund"
"2742","https://www.proff.dk/firma/dansk-h%C3%B8recenter/horsens/medicinsk-teknisk-udstyr/GSMTJQI011I/","Medical Technologies","Dansk Hørecenter",2009,NA,42340000,-16052000,"Spedalsø Torv 6, 8700 Horsens"
"2753","https://www.proff.dk/firma/dansk-h%C3%B8recenter/kolding/medicinsk-teknisk-udstyr/GSMTLBI011I/","Medical Technologies","Dansk Hørecenter",2009,NA,42340000,-16052000,"Slotsgade 8A-12B, 6000 Kolding"
"2762","https://www.proff.dk/firma/bandagist-centret-as/aabenraa/medicinsk-teknisk-udstyr/GT6NMPI011I/","Medical Technologies","Bandagist-Centret A/S",2010,NA,45446000,7648000,"Vestergade 12, st. tv., 6200 Aabenraa"
"2772","https://www.proff.dk/firma/audionova-aps/faxe/medicinsk-teknisk-udstyr/GT7F6EI011I/","Medical Technologies","Audionova ApS",2010,NA,89098000,5070000,"Vinkældertorvet 3, 4640 Faxe"
"2782","https://www.proff.dk/firma/audionova-aps/assens/medicinsk-teknisk-udstyr/GT7F75I011I/","Medical Technologies","Audionova ApS",2010,1,89098000,5070000,"Odensevej 1, 5610 Assens"
"2792","https://www.proff.dk/firma/audionova-aps/vordingborg/medicinsk-teknisk-udstyr/GT7RVXI011I/","Medical Technologies","Audionova ApS",2010,2,89098000,5070000,"Algade 59, 1. th., 4760 Vordingborg"
"2802","https://www.proff.dk/firma/audionova-aps/kalundborg/medicinsk-teknisk-udstyr/GT7RWWI011I/","Medical Technologies","Audionova ApS",2010,1,89098000,5070000,"Kordilgade 57, 4400 Kalundborg"
"2813","https://www.proff.dk/firma/audionova-aps/holb%C3%A6k/medicinsk-teknisk-udstyr/GT7RXKI011I/","Medical Technologies","Audionova ApS",2010,1,89098000,5070000,"Smedelundsgade 48, 4300 Holbæk"
"2822","https://www.proff.dk/firma/audionova-aps/taastrup/medicinsk-teknisk-udstyr/GT7RXSI011I/","Medical Technologies","Audionova ApS",2010,3,89098000,5070000,"Høje Taastrup Boulevard 76B, 2630 Taastrup"
"2832","https://www.proff.dk/firma/audionova-aps/ballerup/medicinsk-teknisk-udstyr/GT7RYEI011I/","Medical Technologies","Audionova ApS",2010,3,89098000,5070000,"Hold-An Vej 5, 1., 2750 Ballerup"
"2842","https://www.proff.dk/firma/audionova-aps/odense-c/medicinsk-teknisk-udstyr/GT88VTI011I/","Medical Technologies","Audionova ApS",2011,3,89098000,5070000,"Vestergade 83, 5000 Odense C"
"2852","https://www.proff.dk/firma/audionova-aps/hvidovre/medicinsk-teknisk-udstyr/GT89AKI011I/","Medical Technologies","Audionova ApS",2011,3,89098000,5070000,"Laurits Olsens Vej 75, 1. 184., 2650 Hvidovre"
"2862","https://www.proff.dk/firma/audionova-aps/svendborg/medicinsk-teknisk-udstyr/GT8G1II011I/","Medical Technologies","Audionova ApS",2011,1,89098000,5070000,"Gåsestræde 7C, 5700 Svendborg"
"2872","https://www.proff.dk/firma/audionova-h%C3%B8recenter-middelfart/middelfart/medicinsk-teknisk-udstyr/GT8G1YI011I/","Medical Technologies","Audionova Hørecenter, Middelfart",2011,1,89098000,5070000,"Algade 59A, 5500 Middelfart"
"2882","https://www.proff.dk/firma/klinisk-tandteknik-og-dental-laboratorium/nyk%C3%B8bing-f/medicinsk-teknisk-udstyr/GTABC9I011I/","Medical Technologies","Klinisk Tandteknik og Dental Laboratorium",NA,0,0,NA,"Nygade 32, 4800 Nykøbing F"
"2892","https://www.proff.dk/firma/lemaitre-vascular-gmbh/herlev/medicinsk-teknisk-udstyr/GTAL0WI011I/","Medical Technologies","Lemaitre Vascular Gmbh",NA,0,0,NA,"Lyskær 3C, 1. tv., 2730 Herlev"
"2902","https://www.proff.dk/firma/fodhuset-house-of-feet-ebeltof-t-l%C3%B8beklinik-bev%C3%A6gelaboratorium-vfinn-christian-simonsen/ebeltoft/medicinsk-teknisk-udstyr/GTDGPNI011I/","Medical Technologies","Fodhuset - House Of Feet - Ebeltof T Løbeklinik &amp; Bevægelaboratorium v/Finn Christian Simonsen",NA,0,0,NA,"Skudehavnen 21, 1., 8400 Ebeltoft"
"2913","https://www.proff.dk/firma/bandageriet-as/hiller%C3%B8d/medicinsk-teknisk-udstyr/GTDPM7I011I/","Medical Technologies","Bandageriet A/S",2011,1,79107000,18298000,"Huginsvej 1, 3400 Hillerød"
"2922","https://www.proff.dk/firma/baby-instituttet-aps/kongens-lyngby/medicinsk-teknisk-udstyr/GTE5VBI011I/","Medical Technologies","Baby Instituttet ApS",2011,3,6654000,-684000,"Lyngby Hovedgade 37, st. th., 2800 Kongens Lyngby"
"2932","https://www.proff.dk/firma/audionova-aps/helsing%C3%B8r/medicinsk-teknisk-udstyr/GTGUY0I011I/","Medical Technologies","Audionova ApS",2011,2,89098000,5070000,"Stjernegade 7, 3000 Helsingør"
"2942","https://www.proff.dk/firma/audionova-aps/nakskov/medicinsk-teknisk-udstyr/GTKUBEI011I/","Medical Technologies","Audionova ApS",2011,2,89098000,5070000,"Vejlegade 2, 4900 Nakskov"
"2952","https://www.proff.dk/firma/tandprotese-klinikken-aps/kolding/medicinsk-teknisk-udstyr/GTNPTCI011I/","Medical Technologies","Tandprotese Klinikken ApS",2011,NA,1819000,411000,"Vejlevej 306, 6000 Kolding"
"2962","https://www.proff.dk/firma/audionova-aps/aalborg-sv/medicinsk-teknisk-udstyr/GTQQXEI011I/","Medical Technologies","Audionova ApS",2012,4,89098000,5070000,"Hobrovej 505, 9200 Aalborg SV"
"2972","https://www.proff.dk/firma/cook-medical-ringsted/ringsted/medicinsk-teknisk-udstyr/GTT4M1I011I/","Medical Technologies","Cook Medical - Ringsted",2012,27,626723000,130064000,"Selandia Park 10, 4100 Ringsted"
"2982","https://www.proff.dk/firma/vestjyllands-h%C3%B8recenter-aps/struer/medicinsk-teknisk-udstyr/GTUMSYI011I/","Medical Technologies","Vestjyllands Hørecenter ApS",2012,NA,3052000,562000,"Toldbodstræde 3, st., 7600 Struer"
"2992","https://www.proff.dk/firma/din-h%C3%B8respecialist-aps/h%C3%B8rsholm/medicinsk-teknisk-udstyr/GTVKQ3I011I/","Medical Technologies","Din Hørespecialist ApS",2012,16,13286000,-11717000,"Hovedgaden 49, 1., 2970 Hørsholm"
"3002","https://www.proff.dk/firma/syddansk-h%C3%B8reklinik-aps/t%C3%B8nder/medicinsk-teknisk-udstyr/GTWR0WI011I/","Medical Technologies","Syddansk Høreklinik ApS",2012,1,248000,-2003000,"Carstensgade 6-10, 6270 Tønder"
"3013","https://www.proff.dk/firma/audionova-aps/bramming/medicinsk-teknisk-udstyr/GUHG2OI011I/","Medical Technologies","Audionova ApS",2013,NA,89098000,5070000,"Storegade 26, 6740 Bramming"
"3022","https://www.proff.dk/firma/audionova-aps/gilleleje/medicinsk-teknisk-udstyr/GUICZBI011I/","Medical Technologies","Audionova ApS",2013,NA,89098000,5070000,"Vesterbrogade 15, 3250 Gilleleje"
"3032","https://www.proff.dk/firma/din-h%C3%B8respecialist-kalundborg/kalundborg/medicinsk-teknisk-udstyr/GUN32II011I/","Medical Technologies","Din Hørespecialist Kalundborg",2013,1,13286000,-11717000,"Vænget 22, 4400 Kalundborg"
"3042","https://www.proff.dk/firma/bandagist-jan-nielsen-as/k%C3%B8benhavn-s/medicinsk-teknisk-udstyr/GURWEAI011I/","Medical Technologies","Bandagist Jan Nielsen A/S",2014,2,24280000,7714000,"Sundholmsvej 73, 2300 København S"
"3052","https://www.proff.dk/firma/cms-dental-as/roslev/medicinsk-teknisk-udstyr/GUSF6GI011I/","Medical Technologies","Cms Dental A/S",2013,NA,7371000,396000,"Elmevej 8, 7870 Roslev"
"3062","https://www.proff.dk/firma/dansk-h%C3%B8recenter/vejle/medicinsk-teknisk-udstyr/GUV0SWI011I/","Medical Technologies","Dansk Hørecenter",2014,1,42340000,-16052000,"Vestre Engvej 1D, 7100 Vejle"
"3072","https://www.proff.dk/firma/dansk-h%C3%B8recenter/hiller%C3%B8d/medicinsk-teknisk-udstyr/GUV0XUI011I/","Medical Technologies","Dansk Hørecenter",2014,2,42340000,-16052000,"Helsingørsgade 4, 3400 Hillerød"
"3082","https://www.proff.dk/firma/dansk-h%C3%B8recenter/roskilde/medicinsk-teknisk-udstyr/GUV0YDI011I/","Medical Technologies","Dansk Hørecenter",2014,NA,42340000,-16052000,"Ringstedgade 26, 4000 Roskilde"
"3092","https://www.proff.dk/firma/dansk-h%C3%B8recenter/silkeborg/medicinsk-teknisk-udstyr/GUV0ZNI011I/","Medical Technologies","Dansk Hørecenter",2014,1,42340000,-16052000,"Bios Gård 11, 8600 Silkeborg"
"3103","https://www.proff.dk/firma/audionova-aps/ringk%C3%B8bing/medicinsk-teknisk-udstyr/GUXJ0UI011I/","Medical Technologies","Audionova ApS",2014,NA,89098000,5070000,"Nørreport 9, 6950 Ringkøbing"
"3113","https://www.proff.dk/firma/audionova-aps/faaborg/medicinsk-teknisk-udstyr/GUXJ2CI011I/","Medical Technologies","Audionova ApS",2014,NA,89098000,5070000,"Odensevej 47A, 5600 Faaborg"
"3122","https://www.proff.dk/firma/audionova-aps/skjern/medicinsk-teknisk-udstyr/GUXJ81I011I/","Medical Technologies","Audionova ApS",2014,4,89098000,5070000,"Bredgade 40, 6900 Skjern"
"3133","https://www.proff.dk/firma/audionova-aps/grindsted/medicinsk-teknisk-udstyr/GUXJAAI011I/","Medical Technologies","Audionova ApS",2014,4,89098000,5070000,"Vestergade 120, 7200 Grindsted"
"3142","https://www.proff.dk/firma/audionova-aps/billund/medicinsk-teknisk-udstyr/GUXJAII011I/","Medical Technologies","Audionova ApS",2014,NA,89098000,5070000,"Kløvervej 10A, 7190 Billund"
"3152","https://www.proff.dk/firma/audionova-aps/haslev/medicinsk-teknisk-udstyr/GUXJC4I011I/","Medical Technologies","Audionova ApS",2014,NA,89098000,5070000,"Torvet 2A, 4690 Haslev"
"3162","https://www.proff.dk/firma/audionova-aps/skive/medicinsk-teknisk-udstyr/GUXJFSI011I/","Medical Technologies","Audionova ApS",2014,NA,89098000,5070000,"Slotsgade 3, 7800 Skive"
"3172","https://www.proff.dk/firma/audionova-aps/sk%C3%A6lsk%C3%B8r/medicinsk-teknisk-udstyr/GUYCJAI011I/","Medical Technologies","Audionova ApS",2014,NA,89098000,5070000,"Slagelsevej 32, 4230 Skælskør"
"3182","https://www.proff.dk/firma/audionova-aps/hobro/medicinsk-teknisk-udstyr/GUYCJII011I/","Medical Technologies","Audionova ApS",2014,NA,89098000,5070000,"Adelgade 25G, 9500 Hobro"
"3192","https://www.proff.dk/firma/audionova-aps/fredericia/medicinsk-teknisk-udstyr/GUZ4KKI011I/","Medical Technologies","Audionova ApS",2014,1,89098000,5070000,"Jernbanegade 15, st. tv., 7000 Fredericia"
"3203","https://www.proff.dk/firma/audionova-aps/lystrup/medicinsk-teknisk-udstyr/GUZZMHI011I/","Medical Technologies","Audionova ApS",2014,NA,89098000,5070000,"Bystævnet 5F, 8520 Lystrup"
"3213","https://www.proff.dk/firma/audionova-aps/hvals%C3%B8/medicinsk-teknisk-udstyr/GUZZMPI011I/","Medical Technologies","Audionova ApS",2014,1,89098000,5070000,"Hovedgaden 16, 4330 Hvalsø"
"3222","https://www.proff.dk/firma/lundgaard-tandteknik/roskilde/medicinsk-teknisk-udstyr/GV0AQRI011I/","Medical Technologies","Lundgaard Tandteknik",NA,0,0,NA,"Hersegade 24, 4000 Roskilde"
"3232","https://www.proff.dk/firma/paso-drift-aps/herlev/medicinsk-teknisk-udstyr/GV0RB8I011I/","Medical Technologies","Paso Drift ApS",2013,4,2109000,-665000,"Herlev Hovedgade 138E, 2730 Herlev"
"3242","https://www.proff.dk/firma/audionova-aps/vallensb%C3%A6k-strand/medicinsk-teknisk-udstyr/GV27SYI011I/","Medical Technologies","Audionova ApS",2014,1,89098000,5070000,"Vallensbæk Stationstorv 70, 2665 Vallensbæk Strand"
