"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address"
"6923","https://www.proff.dk/firma/biofuel-denmark-aps/hadsten/tekniske-konsulenter/0KIVGWI01OU/","Technical Consultants","BIOFUEL DENMARK ApS",2012,NA,-30000,-30000,"Randersvej 53, 8370 Hadsten"
"6959","https://www.proff.dk/firma/nordic-bioenergy-aps/viborg/tekniske-konsulenter/0I7M99I01OU/","Technical Consultants","NORDIC BIOENERGY ApS",2007,1,-20000,-1033000,"Finderupvej 68, 8800 Viborg"
"6999","https://www.proff.dk/firma/danish-green-biofuel-aps/slagelse/tekniske-konsulenter/0OK8POI01OU/","Technical Consultants","Danish Green Biofuel ApS",2020,NA,-16000,-16000,"Slotsalleen 36, 4200 Slagelse"
"7002","https://www.proff.dk/firma/lundsby-biogas-international-as/l%C3%B8gstrup/tekniske-konsulenter/0OJ7VEI01OU/","Technical Consultants","Lundsby Biogas International A/S",2020,NA,-15000,-18000,"Hjarbækvej 65, 8831 Løgstrup"
"7287","https://www.proff.dk/firma/dupont-nutrition-biosciences-aps/k%C3%B8benhavn-k/tekniske-konsulenter/GL7CEEI01OU/","Technical Consultants","Dupont Nutrition Biosciences ApS",1989,83,7.2e+08,1.162e+09,"Langebrogade 1, 1411 København K"
"7338","https://www.proff.dk/firma/borregaard-bioplant-aps/aarhus-n/tekniske-konsulenter/GMFXCDI01OU/","Technical Consultants","Borregaard Bioplant ApS",1999,10,11482000,907000,"Helsingforsgade 27B, 8200 Aarhus N"
"7389","https://www.proff.dk/firma/borregaard-bioplant-aps/hvidovre/tekniske-konsulenter/GPTWG9I01OU/","Technical Consultants","Borregaard Bioplant ApS",2003,5,11482000,907000,"Hammerholmen 39K, 2650 Hvidovre"
"7847","https://www.proff.dk/firma/21st.bio-as/charlottenlund/tekniske-konsulenter/GYWIV6I01OU/","Technical Consultants","21st.Bio A/S",NA,0,0,NA,"Øresundshøj 15, 2920 Charlottenlund"
"7891","https://www.proff.dk/firma/21st.bio-laboratory/k%C3%B8benhavn-n/tekniske-konsulenter/GZRJM8I01OU/","Technical Consultants","21st.Bio Laboratory",NA,0,0,NA,"Ole Maaløes Vej 3, 2200 København N"
"8056","https://www.proff.dk/firma/biopro/aarhus-c/tekniske-konsulenter/098JBLI01OU/","Technical Consultants","biopro",NA,0,0,NA,"Ingerslevs Boulevard 21, 8000 Aarhus C"
"8229","https://www.proff.dk/firma/biozoo-information-vmichael-o.-j%C3%B8rgensen/k%C3%B8benhavn-s/tekniske-konsulenter/0BFZSDI01OU/","Technical Consultants","BIO/ZOO INFORMATION V/MICHAEL O. JØRGENSEN",NA,0,0,NA,"Egilsgade 12 kl, 2300 København S"
"8414","https://www.proff.dk/firma/hc-bioconsulting-vhenrik-carl/br%C3%B8nsh%C3%B8j/tekniske-konsulenter/0EZYIFI01OU/","Technical Consultants","Hc Bioconsulting v/Henrik Carl",NA,0,0,NA,"Veksøvej 2 A 3 tv, 2700 Brønshøj"
"8598","https://www.proff.dk/firma/dansk-biologisk-laboratorium/n%C3%A6rum/tekniske-konsulenter/0G1DO4I01OU/","Technical Consultants","Dansk Biologisk Laboratorium",NA,0,0,NA,"Wesselsmindevej 4, 2850 Nærum"
"8711","https://www.proff.dk/firma/kalundborg-symbiose/kalundborg/tekniske-konsulenter/0GLNW6I01OU/","Technical Consultants","Kalundborg Symbiose",NA,0,0,NA,"Campus Kalundborg 3, 4400 Kalundborg"
"8781","https://www.proff.dk/firma/biovice-vanders-b%C3%B8gh-jensen/skodsborg/tekniske-konsulenter/0H8P05I01OU/","Technical Consultants","Biovice v/Anders Bøgh Jensen",NA,0,0,NA,"Gyvelvej 8, 2942 Skodsborg"
"8803","https://www.proff.dk/firma/bio-nat-consult-vole-lousdal-torben-hansen/aulum/tekniske-konsulenter/0HCBNKI01OU/","Technical Consultants","BIO-NAT Consult v/Ole Lousdal &amp; Torben Hansen",NA,0,0,NA,"Højager 53, 7490 Aulum"
"9090","https://www.proff.dk/firma/nielsenbioconsult-velsemarie-kragh-nielsen/fjerritslev/tekniske-konsulenter/0JA06EI01OU/","Technical Consultants","NielsenBioConsult v/Elsemarie Kragh Nielsen",NA,0,0,NA,"Vustholmevej 128, 9690 Fjerritslev"
"9128","https://www.proff.dk/firma/biowarm-virina-alexandrovna-jensen/karreb%C3%A6ksminde/tekniske-konsulenter/0JI0TYI01OU/","Technical Consultants","Biowarm v/Irina Alexandrovna Jensen",NA,0,0,NA,"Vesterhavevej 204, 4736 Karrebæksminde"
"9405","https://www.proff.dk/firma/cabion/s%C3%B8borg/tekniske-konsulenter/0KWK91I01OU/","Technical Consultants","Cabion",NA,0,0,NA,"Alsikemarken 63, 2860 Søborg"
"9409","https://www.proff.dk/firma/erik-dylmer-biologisk-r%C3%A5dgivning/ry/tekniske-konsulenter/0KWTVRI01OU/","Technical Consultants","Erik Dylmer - Biologisk rådgivning",NA,0,0,NA,"Skovlunden 3, 8680 Ry"
"9618","https://www.proff.dk/firma/biomasse-konsult/sams%C3%B8/tekniske-konsulenter/0M4CZWI01OU/","Technical Consultants","Biomasse Konsult",NA,0,0,NA,"Museumsvej 4, 8305 Samsø"
"9743","https://www.proff.dk/firma/biomass2business/holb%C3%A6k/tekniske-konsulenter/0MPIV3I01OU/","Technical Consultants","Biomass2Business",NA,0,0,NA,"Fjordparken 24, 4300 Holbæk"
"9852","https://www.proff.dk/firma/ablebio/frederiksberg/tekniske-konsulenter/0N8J7GI01OU/","Technical Consultants","AbleBio",NA,0,0,NA,"Dirch Passers Allé 11 5, 2000 Frederiksberg"
"9939","https://www.proff.dk/firma/c-biotech-aps/k%C3%B8benhavn-%C3%B8/tekniske-konsulenter/0NLIDZI01OU/","Technical Consultants","c-biotech ApS",2018,NA,39000,-5000,"Fruebjergvej 3, 2100 København Ø"
"214","https://www.proff.dk/firma/pharma4ever-qa-aps/ballerup/tekniske-konsulenter/0NA5C4I01OU/","Technical Consultants","Pharma4ever QA ApS",2017,5,6046000,2038000,"Lautruphøj 1, 2750 Ballerup"
"320","https://www.proff.dk/firma/cmc-pharma-consulting-bj-aps/v%C3%A6rl%C3%B8se/tekniske-konsulenter/0OZYLSI01OU/","Technical Consultants","CMC Pharma Consulting BJ ApS",2021,2,3524000,789000,"Ravnehusvej 7, 3500 Værløse"
"355","https://www.proff.dk/firma/pharmac-aps/lille-skensved/tekniske-konsulenter/0MXVW1I01OU/","Technical Consultants","Pharmac ApS",2017,2,2953000,741000,"Elsdyrvej 18, 4623 Lille Skensved"
"373","https://www.proff.dk/firma/gxp-pharmaid-aps/br%C3%B8nsh%C3%B8j/tekniske-konsulenter/0HMRQTI01OU/","Technical Consultants","GXP PHARMAID ApS",2006,2,2799000,1192000,"Kobbelvænget 74 1, 2700 Brønshøj"
"1144","https://www.proff.dk/firma/pharma-engineering-aps/roskilde/tekniske-konsulenter/0L5A8VI01OU/","Technical Consultants","PHARMA ENGINEERING ApS",2013,NA,409000,-326000,"Tokhøjvej 34, 4000 Roskilde"
"1392","https://www.proff.dk/firma/s-cubed-pharmaceutical-services-aps/k%C3%B8benhavn-k/tekniske-konsulenter/0N8NY0I01OU/","Technical Consultants","S-cubed Pharmaceutical Services ApS",2017,NA,146000,142000,"David Balfours Gade 4 st tv, 1402 København K"
"2507","https://www.proff.dk/firma/pharmagile-aps-under-tvangsopl%C3%B8sning/helsing%C3%B8r/tekniske-konsulenter/GTH466I01OU/","Technical Consultants","Pharmagile ApS  Under Tvangsopløsning",NA,0,0,NA,"Ryesvej 12, 3000 Helsingør"
"2752","https://www.proff.dk/firma/chemistrypharma-consult/kongens-lyngby/tekniske-konsulenter/GXGH94I01OU/","Technical Consultants","Chemistrypharma Consult",NA,0,0,NA,"Gyrithe Lemches Vej 5, 2800 Kongens Lyngby"
"4065","https://www.proff.dk/firma/pharma-technology-consult/hiller%C3%B8d/tekniske-konsulenter/0J0SK6I01OU/","Technical Consultants","Pharma Technology Consult",NA,0,0,NA,"Jespervej 58, 3400 Hillerød"
"4452","https://www.proff.dk/firma/autopharma-aps/hvidovre/tekniske-konsulenter/0L2SKCI01OU/","Technical Consultants","AUTOPHARMA ApS",2013,1,39000,310000,"Hvidovre Strandvej 59 A, 2650 Hvidovre"
"4634","https://www.proff.dk/firma/qpharmadoc/humleb%C3%A6k/tekniske-konsulenter/0M5CZ6I01OU/","Technical Consultants","QPharmaDoc",NA,0,0,NA,"Bogårdsvej 229, 3050 Humlebæk"
"5101","https://www.proff.dk/firma/pharma-technology-as/k%C3%B8ge/tekniske-konsulenter/0CEE0QI01OU/","Technical Consultants","PHARMA TECHNOLOGY A/S",1998,13,13926000,8079000,"Åshøjvej 24, 4600 Køge"
"5154","https://www.proff.dk/firma/pharma4ever-as/t%C3%B8ll%C3%B8se/tekniske-konsulenter/0LOYN1I01OU/","Technical Consultants","Pharma4ever A/S",2014,11,8802000,2279000,"Agervej 4, 4340 Tølløse"
"5631","https://www.proff.dk/firma/viad-pharma-aps/k%C3%B8benhavn-nv/tekniske-konsulenter/0LOWKKI01OU/","Technical Consultants","VIAD PHARMA ApS",2014,1,1291000,588000,"Hejrevej 39, 2400 København NV"
"5763","https://www.proff.dk/firma/gxp-pharma-support-as/sor%C3%B8/tekniske-konsulenter/0LGBIBI01OU/","Technical Consultants","GXP-PHARMA SUPPORT A/S",2014,1,1e+06,852000,"Energivej 3, 4180 Sorø"
"6383","https://www.proff.dk/firma/pharmasphere-consulting-aps/herlev/tekniske-konsulenter/0LUIZII01OU/","Technical Consultants","PharmaSphere Consulting ApS",2015,1,138000,112000,"Gammel Klausdalsbrovej 475 B, 2730 Herlev"
"6533","https://www.proff.dk/firma/inflection-pharma-consulting-aps/frederiksberg/tekniske-konsulenter/0NMLJ7I01OU/","Technical Consultants","Inflection Pharma Consulting ApS",2018,NA,47000,47000,"C.N. Petersens Vej 11, 2000 Frederiksberg"
"6582","https://www.proff.dk/firma/pharmatechpower-aps/kalundborg/tekniske-konsulenter/0JKQNFI01OU/","Technical Consultants","PHARMATECHPOWER ApS",2010,1,27000,-29000,"Hjorthøj 30, 4400 Kalundborg"
"6819","https://www.proff.dk/firma/altrapharma-aps/holte/tekniske-konsulenter/0KJ3XOI01OU/","Technical Consultants","ALTRAPHARMA ApS",2012,1,-76000,-173000,"Storkevænget 9, 2840 Holte"
"6883","https://www.proff.dk/firma/pharmacons-aps/holb%C3%A6k/tekniske-konsulenter/0LYQPYI01OU/","Technical Consultants","Pharmacons ApS",2015,NA,-40000,-44000,"Tornehagen 91, 4300 Holbæk"
"7591","https://www.proff.dk/firma/pharma4ever-as/t%C3%B8ll%C3%B8se/tekniske-konsulenter/GV82NLI01OU/","Technical Consultants","Pharma4ever A/S",2014,NA,8802000,2279000,"Agervej 4, 4340 Tølløse"
"7868","https://www.proff.dk/firma/pharma4ever-as/hundested/tekniske-konsulenter/GZD1A3I01OU/","Technical Consultants","Pharma4ever A/S",2021,NA,8802000,2279000,"Valmuevej 9, 3390 Hundested"
"8377","https://www.proff.dk/firma/van-pharma-consult/frederiksberg/tekniske-konsulenter/0D20YTI01OU/","Technical Consultants","VAN Pharma consult",NA,0,0,NA,"Dronning Olgas Vej 34, 2000 Frederiksberg"
"8970","https://www.proff.dk/firma/pharma-konsulenten/kalundborg/tekniske-konsulenter/0IE1E9I01OU/","Technical Consultants","Pharma Konsulenten",NA,0,0,NA,"Toftedalsvej 3, 4400 Kalundborg"
"9241","https://www.proff.dk/firma/pharmagile-aps/helsing%C3%B8r/tekniske-konsulenter/0K3XA7I01OU/","Technical Consultants","PHARMAGILE ApS",NA,0,0,NA,"Ryesvej 12, 3000 Helsingør"
"9391","https://www.proff.dk/firma/pharmanniche/helsinge/tekniske-konsulenter/0KUHVBI01OU/","Technical Consultants","PHARManniche",NA,0,0,NA,"Valby Overdrev 6, 3200 Helsinge"
"9408","https://www.proff.dk/firma/fuglsang-pharma/vejle-%C3%B8st/tekniske-konsulenter/0KWPXYI01OU/","Technical Consultants","Fuglsang Pharma",NA,0,0,NA,"Beckersvej 13, 7120 Vejle Øst"
